idx,stages,latency,critσ,combHits,dspHits,baseE,rawE,warE,wawE,flagWR,flagWAW,finalE
1915,4,4,1.0897247358851685,0,0,4,1,1,1,0,0,7
1916,2,2,1.0,0,0,1,0,0,0,0,0,1
1917,2,2,1.0,0,0,1,0,0,0,0,0,1
1918,1,1,0.0,0,0,2,0,0,0,0,0,2
1919,2,2,1.0,0,0,1,0,0,0,0,0,1
1920,1,1,0.0,0,0,1,0,0,0,0,0,1
1921,1,1,0.0,0,0,1,0,0,0,0,0,1
1922,2,2,0.5,0,0,2,0,0,0,0,0,2
1923,1,1,0.0,0,0,1,0,0,0,0,0,1
1924,2,2,0.5,0,0,2,0,0,0,0,0,2
1925,1,1,0.0,0,0,3,3,0,0,0,0,6
1926,2,2,0.5,0,0,2,0,0,0,0,0,2
1927,1,1,0.0,0,0,1,0,0,0,0,0,1
1928,1,1,0.0,0,0,1,0,0,0,0,0,1
1929,2,2,1.0,0,0,1,0,0,0,0,0,1
1930,1,1,0.0,0,0,3,3,0,0,0,0,6
1931,1,1,0.0,0,0,1,0,0,0,0,0,1
1932,2,2,1.0,0,0,1,0,0,0,0,0,1
1933,2,2,1.0,0,0,1,0,0,0,0,0,1
1934,3,3,0.4714045207910317,0,0,3,3,0,0,0,0,6
1935,2,2,1.0,0,0,1,0,0,0,0,0,1
1936,2,2,0.0,0,0,1,0,0,0,0,0,1
1937,2,2,0.0,0,0,1,0,0,0,0,0,1
1938,2,2,1.0,0,0,1,0,0,0,0,0,1
1939,1,1,0.0,0,0,1,0,0,0,0,0,1
1940,1,1,0.0,0,0,1,0,0,0,0,0,1
1941,1,1,0.0,0,0,1,0,0,0,0,0,1
1942,1,1,0.0,0,0,3,3,0,0,0,0,6
1943,1,1,0.0,0,0,1,0,0,0,0,0,1
1944,3,3,0.0,0,0,2,0,0,0,0,0,2
1945,2,2,1.0,0,0,1,0,0,0,0,0,1
1946,1,1,0.0,0,0,3,3,0,0,0,0,6
1947,2,2,0.5,0,0,2,0,0,0,0,0,2
1948,1,1,0.0,0,0,1,0,0,0,0,0,1
1949,1,1,0.0,0,0,1,0,0,0,0,0,1
1950,3,3,0.0,0,0,2,0,0,0,0,0,2
1951,1,1,0.0,0,0,1,0,0,0,0,0,1
1952,1,1,0.0,0,0,1,0,0,0,0,0,1
1953,2,2,1.0,0,0,1,0,0,0,0,0,1
1954,2,2,1.0,0,0,1,0,0,0,0,0,1
1955,2,2,1.0,0,0,1,0,0,0,0,0,1
1956,1,1,0.0,0,0,1,0,0,0,0,0,1
1957,2,2,0.5,0,0,2,0,0,0,0,0,2
1958,1,1,0.0,0,0,2,1,0,0,0,0,3
1959,2,2,1.0,0,0,1,0,0,0,0,0,1
1960,2,2,0.0,0,0,1,0,0,0,0,0,1
1961,1,1,0.0,0,0,1,0,0,0,0,0,1
1962,1,1,0.0,0,0,3,3,0,0,0,0,6
1963,1,1,0.0,0,0,1,0,0,0,0,0,1
1964,1,1,0.0,0,0,1,0,0,0,0,0,1
1965,1,1,0.0,0,0,1,0,0,0,0,0,1
1966,1,1,0.0,0,0,1,0,0,0,0,0,1
1967,1,1,0.0,0,0,2,1,0,0,0,0,3
1968,1,1,0.0,0,0,1,0,0,0,0,0,1
1969,1,1,0.0,0,0,1,0,0,0,0,0,1
1970,1,1,0.0,0,0,1,0,0,0,0,0,1
1971,1,1,0.0,0,0,1,0,0,0,0,0,1
1972,1,1,0.0,0,0,1,0,0,0,0,0,1
1973,2,2,1.0,0,0,1,0,0,0,0,0,1
1974,2,2,0.5,0,0,2,0,0,0,0,0,2
1975,2,2,1.0,0,0,1,0,0,0,0,0,1
1976,1,1,0.0,0,0,3,3,0,0,0,0,6
1977,2,2,0.0,0,0,1,0,0,0,0,0,1
1978,4,4,0.7071067811865476,0,0,5,0,0,0,0,0,5
1979,2,2,1.0,0,0,1,0,0,0,0,0,1
1980,1,1,0.0,0,0,1,0,0,0,0,0,1
1981,2,2,1.0,0,0,1,0,0,0,0,0,1
1982,3,3,0.4714045207910317,0,0,3,1,1,1,0,0,6
1983,2,2,1.0,0,0,1,0,0,0,0,0,1
1984,7,7,1.6659862556700857,1,2,13,24,8,2,0,0,47
1985,2,2,0.0,0,0,1,0,0,0,0,0,1
1986,2,2,1.0,0,0,1,0,0,0,0,0,1
1987,1,1,0.0,0,0,1,0,0,0,0,0,1
1988,2,2,1.0,0,0,1,0,0,0,0,0,1
1989,2,2,1.0,0,0,1,0,0,0,0,0,1
1990,2,2,0.0,0,0,1,0,0,0,0,0,1
1991,1,1,0.0,0,0,1,0,0,0,0,0,1
1992,2,2,0.5,0,0,2,1,0,0,0,0,3
1993,2,2,0.0,0,0,1,0,0,0,0,0,1
1994,2,2,0.0,0,0,1,0,0,0,0,0,1
1995,2,2,1.0,0,0,1,0,0,0,0,0,1
1996,2,2,1.0,0,0,1,0,0,0,0,0,1
1997,2,2,1.0,0,0,3,1,0,0,0,0,4
1998,2,2,0.5,0,0,2,0,0,1,0,0,3
1999,2,2,1.0,0,0,1,0,0,0,0,0,1
