clock_region,category,loc,x,y
X0Y0,SLICE,SLICE_X13Y9,13,9
X0Y0,SLICE,SLICE_X14Y0,14,0
X0Y0,SLICE,SLICE_X14Y1,14,1
X0Y0,SLICE,SLICE_X14Y10,14,10
X0Y0,SLICE,SLICE_X14Y11,14,11
X0Y0,SLICE,SLICE_X14Y12,14,12
X0Y0,SLICE,SLICE_X14Y13,14,13
X0Y0,SLICE,SLICE_X14Y14,14,14
X0Y0,SLICE,SLICE_X14Y15,14,15
X0Y0,SLICE,SLICE_X14Y16,14,16
X0Y0,SLICE,SLICE_X14Y17,14,17
X0Y0,SLICE,SLICE_X14Y18,14,18
X0Y0,SLICE,SLICE_X14Y19,14,19
X0Y0,SLICE,SLICE_X14Y2,14,2
X0Y0,SLICE,SLICE_X14Y20,14,20
X0Y0,SLICE,SLICE_X14Y21,14,21
X0Y0,SLICE,SLICE_X14Y22,14,22
X0Y0,SLICE,SLICE_X14Y23,14,23
X0Y0,SLICE,SLICE_X14Y24,14,24
X0Y0,SLICE,SLICE_X14Y25,14,25
X0Y0,SLICE,SLICE_X14Y26,14,26
X0Y0,SLICE,SLICE_X14Y27,14,27
X0Y0,SLICE,SLICE_X14Y28,14,28
X0Y0,SLICE,SLICE_X14Y29,14,29
X0Y0,SLICE,SLICE_X14Y3,14,3
X0Y0,SLICE,SLICE_X14Y30,14,30
X0Y0,SLICE,SLICE_X14Y31,14,31
X0Y0,SLICE,SLICE_X14Y32,14,32
X0Y0,SLICE,SLICE_X14Y33,14,33
X0Y0,SLICE,SLICE_X14Y34,14,34
X0Y0,SLICE,SLICE_X14Y35,14,35
X0Y0,SLICE,SLICE_X14Y36,14,36
X0Y0,SLICE,SLICE_X14Y37,14,37
X0Y0,SLICE,SLICE_X14Y38,14,38
X0Y0,SLICE,SLICE_X14Y39,14,39
X0Y0,SLICE,SLICE_X14Y4,14,4
X0Y0,SLICE,SLICE_X14Y40,14,40
X0Y0,SLICE,SLICE_X14Y41,14,41
X0Y0,SLICE,SLICE_X14Y42,14,42
X0Y0,SLICE,SLICE_X14Y43,14,43
X0Y0,SLICE,SLICE_X14Y44,14,44
X0Y0,SLICE,SLICE_X14Y45,14,45
X0Y0,SLICE,SLICE_X14Y46,14,46
X0Y0,SLICE,SLICE_X14Y47,14,47
X0Y0,SLICE,SLICE_X14Y48,14,48
X0Y0,SLICE,SLICE_X14Y49,14,49
X0Y0,SLICE,SLICE_X14Y5,14,5
X0Y0,SLICE,SLICE_X14Y50,14,50
X0Y0,SLICE,SLICE_X14Y51,14,51
X0Y0,SLICE,SLICE_X14Y52,14,52
X0Y0,SLICE,SLICE_X14Y53,14,53
X0Y0,SLICE,SLICE_X14Y54,14,54
X0Y0,SLICE,SLICE_X14Y55,14,55
X0Y0,SLICE,SLICE_X14Y56,14,56
