bench,src,pc,latency
508.namd_r/1,1/super_hot_regions:225,0x5826d152f524,4
508.namd_r/1,1/super_hot_regions:225,0x5826d152f542,2
508.namd_r/1,1/super_hot_regions:225,0x5826d152f54e,4

508.namd_r/1,1/super_hot_regions:236,0x5826d1558b5a,2
508.namd_r/1,1/super_hot_regions:236,0x5826d1558b7b,4
508.namd_r/1,1/super_hot_regions:236,0x5826d1558b96,2
508.namd_r/1,1/super_hot_regions:236,0x5826d1558bce,4
508.namd_r/1,1/super_hot_regions:236,0x5826d1558bec,2
508.namd_r/1,1/super_hot_regions:236,0x5826d1558c34,4

508.namd_r/1,1/super_hot_regions:251,0x5826d1552215,2
508.namd_r/1,1/super_hot_regions:251,0x5826d1552245,4
508.namd_r/1,1/super_hot_regions:251,0x5826d155226f,2
508.namd_r/1,1/super_hot_regions:251,0x5826d15522ac,4
508.namd_r/1,1/super_hot_regions:251,0x5826d15522d1,2
508.namd_r/1,1/super_hot_regions:251,0x5826d15522fd,4

508.namd_r/1,1/super_hot_regions:279,0x5826d1563138,2
508.namd_r/1,1/super_hot_regions:279,0x5826d156316a,4
508.namd_r/1,1/super_hot_regions:279,0x5826d1563194,2
508.namd_r/1,1/super_hot_regions:279,0x5826d15631d1,4
508.namd_r/1,1/super_hot_regions:279,0x5826d15631fd,2
508.namd_r/1,1/super_hot_regions:279,0x5826d156321d,4

508.namd_r/1,1/super_hot_regions:292,0x715def1921d8,1
508.namd_r/1,1/super_hot_regions:292,0x715def1921ed,1

