idx,stages,II,est_fmax_mhz,latency,rank,exec_cnt,serial_mem
356,4,1,388.9,4,11,1153050,True
357,2,1,1166.7,2,11,1153050,True
358,2,1,1166.7,2,11,2590391,True
359,2,1,1166.7,2,11,2590391,True
360,2,1,1166.7,2,11,2590391,True
361,2,1,1166.7,2,11,2590391,True
362,2,1,1166.7,2,11,2590391,True
363,2,1,1166.7,2,11,2590391,True
364,2,1,1166.7,2,11,2590391,True
365,2,1,1166.7,2,11,2590391,True
366,2,1,1166.7,2,11,2590391,True
367,3,1,1166.7,3,11,2590391,True
368,3,1,437.5,3,11,1605005,True
369,4,1,218.7,4,11,1605005,True
370,3,1,437.5,3,11,1605005,True
371,27,1,109.4,27,11,1220608,True
372,1,1,318.2,1,12,2992888,True
373,2,1,1166.7,2,12,1514700,True
374,2,1,411.8,2,12,1349696,True
375,2,1,225.8,2,12,1349696,False
376,3,1,218.7,3,12,6798768,True
377,2,1,1166.7,2,12,6798768,True
378,2,1,1166.7,2,12,59092,True
379,6,1,218.7,6,12,59092,True
380,128,1,218.7,128,12,59092,True
381,2,1,1166.7,2,12,844352,True
382,2,1,1166.7,2,12,1313790,True
383,24,1,205.9,24,12,610120,True
384,3,1,1166.7,3,12,610120,True
385,3,1,1166.7,3,12,610120,True
386,3,1,1166.7,3,12,610120,True
387,3,1,1166.7,3,12,610120,True
388,3,1,1166.7,3,12,610120,True
389,2,1,1166.7,2,12,610120,True
390,2,1,1166.7,2,12,610120,True
391,3,1,218.7,3,12,610120,True
392,2,1,1166.7,2,12,610120,True
393,1,1,318.2,1,12,3482964,True
394,3,1,304.3,3,12,4241705,True
395,2,1,304.3,2,12,5440033,True
396,2,1,218.7,2,12,2993054,True
397,10,1,205.9,10,12,414606,True
398,2,1,1166.7,2,12,4165452,True
399,1,1,1000.0,1,12,4165452,True
400,32,1,109.4,32,12,1220120,True
401,11,1,109.4,11,12,2331720,True
402,3,1,437.5,3,12,646583,True
403,2,1,437.5,2,13,1328831,True
404,1,1,225.8,1,13,2203912,False
405,1,1,225.8,1,13,2203912,False
406,6,1,318.2,6,13,1940603,True
407,2,1,1166.7,2,13,4732972,True
408,2,1,1166.7,2,13,4732972,True
409,3,1,304.3,3,13,1114200,True
410,2,1,1000.0,2,13,36352,True
411,2,1,1166.7,2,13,36352,True
412,1,1,500.0,1,13,36352,False
413,4,1,212.1,4,13,830145,True
414,1,1,225.8,1,13,1312523,False
415,2,1,1166.7,2,13,4191670,True
416,1,1,1000.0,1,13,4191670,True
417,5,1,318.2,5,13,608820,True
418,5,1,318.2,5,13,608820,True
419,2,1,1166.7,2,13,1153050,True
420,5,1,1166.7,5,13,7813577,True
421,17,1,233.3,17,13,2590389,True
422,2,1,1166.7,2,13,7357515,True
423,2,1,1166.7,2,13,1009552,True
424,4,1,1166.7,4,13,2751494,True
425,11,1,109.4,11,13,2330831,True
426,2,1,304.3,2,14,2085602,True
427,2,1,304.3,2,14,2056421,True
428,2,1,1166.7,2,14,10610777,True
429,2,1,1166.7,2,14,10610777,True
430,3,1,1166.7,3,14,10610777,True
431,2,1,1166.7,2,14,10610777,True
432,2,1,1166.7,2,14,10610777,True
433,3,1,205.9,3,14,1074314,True
434,3,1,437.5,3,14,997525,True
435,4,1,218.7,4,14,997525,True
436,3,1,437.5,3,14,997525,True
437,6,1,218.7,6,14,4854825,True
