benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
505.mcf_r,1,region_1,185084550,174846000,0.65,0.69,5.53
505.mcf_r,1,region_2,155536150,150343200,0.77,0.80,3.34
505.mcf_r,1,region_3,98875350,97518750,1.21,1.23,1.37
505.mcf_r,1,region_4,154829150,153622700,0.78,0.78,0.78
505.mcf_r,1,region_5,155391600,145135200,0.77,0.83,6.60
505.mcf_r,1,region_6,156070950,151168500,0.77,0.79,3.14
505.mcf_r,1,region_7,217061950,210825300,0.55,0.57,2.87
505.mcf_r,1,region_8,112756350,111386800,1.06,1.08,1.21
505.mcf_r,1,region_9,157939950,156442300,0.76,0.77,0.95
505.mcf_r,1,region_10,172363100,171447150,0.70,0.70,0.53
505.mcf_r,1,region_11,263209100,261589650,0.46,0.46,0.62
505.mcf_r,1,region_12,513485700,513476600,0.23,0.23,0.00
505.mcf_r,1,region_13,150179400,149213750,0.80,0.80,0.64
505.mcf_r,1,region_14,139883100,138502700,0.86,0.87,0.99
505.mcf_r,1,region_15,133976850,130982600,0.90,0.92,2.23
505.mcf_r,1,region_16,137077150,135972900,0.88,0.88,0.81
505.mcf_r,1,region_17,134125600,132713700,0.89,0.90,1.05
505.mcf_r,1,region_18,187182450,186479650,0.64,0.64,0.38
505.mcf_r,1,region_19,277914350,277298700,0.43,0.43,0.22
505.mcf_r,1,region_20,265492150,262172050,0.45,0.46,1.25
505.mcf_r,1,region_21,129647700,128317000,0.93,0.94,1.03
505.mcf_r,1,region_22,176305150,175333550,0.68,0.68,0.55
505.mcf_r,1,region_23,159850950,152318250,0.75,0.79,4.71
505.mcf_r,1,region_24,143901450,142724400,0.83,0.84,0.82
505.mcf_r,1,region_25,141943550,140550200,0.85,0.85,0.98
505.mcf_r,1,region_26,201635000,201481000,0.60,0.60,0.08
505.mcf_r,1,region_27,283447850,282464350,0.42,0.42,0.35
505.mcf_r,1,region_28,261239300,260194200,0.46,0.46,0.40
505.mcf_r,1,average,188085925,185518612,0.72,0.73,1.61

507.cactuBSSN_r,1,region_1,2184319550,2183853000,0.05,0.05,0.02
507.cactuBSSN_r,1,region_2,143970750,143361400,0.83,0.84,0.42
507.cactuBSSN_r,1,region_3,391389600,391388900,0.31,0.31,0.00
507.cactuBSSN_r,1,region_4,447688500,447729450,0.27,0.27,-0.01
507.cactuBSSN_r,1,region_5,400397200,400391950,0.30,0.30,0.00
507.cactuBSSN_r,1,region_6,538864900,538781600,0.22,0.22,0.02
507.cactuBSSN_r,1,region_7,77344750,77344400,1.55,1.55,0.00
507.cactuBSSN_r,1,region_8,288679300,288671950,0.42,0.42,0.00
507.cactuBSSN_r,1,region_9,407363950,407358700,0.29,0.29,0.00
507.cactuBSSN_r,1,region_10,175782250,175774900,0.68,0.68,0.00
507.cactuBSSN_r,1,region_11,359559550,359559900,0.33,0.33,-0.00
507.cactuBSSN_r,1,region_12,167399400,166397000,0.72,0.72,0.60
507.cactuBSSN_r,1,region_13,200522000,200075050,0.60,0.60,0.22
507.cactuBSSN_r,1,region_14,70469350,70470050,1.70,1.70,-0.00
507.cactuBSSN_r,1,region_15,525779100,525646800,0.23,0.23,0.03
507.cactuBSSN_r,1,region_16,2136493800,2136376900,0.06,0.06,0.01
507.cactuBSSN_r,1,region_17,202088250,201859000,0.59,0.59,0.11
