env,benchmark,cpu_cycles,fpga_cycles,delta_cycles,delta_cycle_pct,saved_cpu_ns,fpga_time_ns,f_fpga_mhz,num_blocks,avg_depth,total_depth,clb_used,dsp_used,clb_pct_board,dsp_pct_board,area_mm2,total_W,dyn_W,W_per_mm2,stage_count_raw
atom_e3845,649.fotonik3d_s,3381833410,3365417509,16415901,0.485,8594712.57,33608838.34,488.44,10,1.0,10,199,0,0.135,0.0,0.622,2.866,0.392,4.609,1+1+1+1+1+1+1+1+1+1
gainestown,649.fotonik3d_s,3724056159,3736376071,-12319912,-0.331,-4399968.57,-25222979.28,488.44,10,1.0,10,199,0,0.135,0.0,0.622,2.866,0.392,4.609,1+1+1+1+1+1+1+1+1+1
atom_d510,510.parest_r,4297553807,4271289804,26264003,0.611,15726947.9,61991797.84,423.669,10,1.0,10,307,20,0.208,0.292,0.959,2.942,0.467,3.067,1+1+1+1+1+1+1+1+1+1
atom_c2750,510.parest_r,2441923285,2415587294,26335991,1.078,10973329.58,62161713.51,423.669,10,1.0,10,307,20,0.208,0.292,0.959,2.942,0.467,3.067,1+1+1+1+1+1+1+1+1+1
i7_4770k,510.parest_r,1648985121,1626344774,22640347,1.373,6468670.57,53438762.34,423.669,10,1.0,10,307,20,0.208,0.292,0.959,2.942,0.467,3.067,1+1+1+1+1+1+1+1+1+1
atom_e3845,510.parest_r,3028637632,3002123169,26514463,0.875,13881917.8,62582966.89,423.669,10,1.0,10,307,20,0.208,0.292,0.959,2.942,0.467,3.067,1+1+1+1+1+1+1+1+1+1
gainestown,510.parest_r,1631100484,1608069062,23031422,1.412,8225507.86,54361829.64,423.669,10,1.0,10,307,20,0.208,0.292,0.959,2.942,0.467,3.067,1+1+1+1+1+1+1+1+1+1
atom_d510,526.blender_r,3997758109,3940323307,57434802,1.437,34392097.01,65494786.97,876.937,6,1.0,6,68,0,0.046,0.0,0.212,2.778,0.305,13.073,1+1+1+1+1+1
atom_c2750,526.blender_r,2897352877,2837555113,59797764,2.064,24915735.0,68189349.98,876.937,6,1.0,6,68,0,0.046,0.0,0.212,2.778,0.305,13.073,1+1+1+1+1+1
i7_4770k,526.blender_r,2530488146,2484513196,45974950,1.817,13135700.0,52426742.17,876.937,6,1.0,6,68,0,0.046,0.0,0.212,2.778,0.305,13.073,1+1+1+1+1+1
atom_e3845,526.blender_r,2822526765,2762705399,59821366,2.119,31320086.91,68216264.11,876.937,6,1.0,6,68,0,0.046,0.0,0.212,2.778,0.305,13.073,1+1+1+1+1+1
gainestown,526.blender_r,2329867793,2283465527,46402266,1.992,16572237.86,52914024.61,876.937,6,1.0,6,68,0,0.046,0.0,0.212,2.778,0.305,13.073,1+1+1+1+1+1
atom_d510,627.cam4_s,2941715389,2836741031,104974358,3.568,62858897.01,238011726.64,441.047,12,1.92,23,6847,76,4.633,1.111,21.397,5.555,3.044,0.26,1+6+7+1+1+1+1+1+1+1+1+1
atom_c2750,627.cam4_s,2569448765,2464963263,104485502,4.066,43535625.83,236903327.76,441.047,12,1.92,23,6847,76,4.633,1.111,21.397,5.555,3.044,0.26,1+6+7+1+1+1+1+1+1+1+1+1
i7_4770k,627.cam4_s,2207961974,2100169796,107792178,4.882,30797765.14,244400660.25,441.047,12,1.92,23,6847,76,4.633,1.111,21.397,5.555,3.044,0.26,1+6+7+1+1+1+1+1+1+1+1+1
atom_e3845,627.cam4_s,2562130295,2457651701,104478594,4.078,54700834.55,236887665.03,441.047,12,1.92,23,6847,76,4.633,1.111,21.397,5.555,3.044,0.26,1+6+7+1+1+1+1+1+1+1+1+1
gainestown,627.cam4_s,2293244497,2180143737,113100760,4.932,40393128.57,256436978.37,441.047,12,1.92,23,6847,76,4.633,1.111,21.397,5.555,3.044,0.26,1+6+7+1+1+1+1+1+1+1+1+1
atom_d510,525.x264_r,4606783164,4594554458,12228706,0.265,7322578.44,29768752.89,410.79,36,1.39,50,1006,80,0.681,1.17,3.144,3.318,0.838,1.055,1+1+1+1+1+1+1+1+1+1+8+1+1+1+1+1+1+1+1+1+8+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_c2750,525.x264_r,4326928294,4314769514,12158780,0.281,5066158.33,29598529.66,410.79,36,1.39,50,1006,80,0.681,1.17,3.144,3.318,0.838,1.055,1+1+1+1+1+1+1+1+1+1+8+1+1+1+1+1+1+1+1+1+8+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
i7_4770k,525.x264_r,2931955749,2926689566,5266183,0.18,1504623.71,12819647.51,410.79,36,1.39,50,1006,80,0.681,1.17,3.144,3.318,0.838,1.055,1+1+1+1+1+1+1+1+1+1+8+1+1+1+1+1+1+1+1+1+8+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_e3845,525.x264_r,4291054096,4278896097,12157999,0.283,6365444.5,29596628.45,410.79,36,1.39,50,1006,80,0.681,1.17,3.144,3.318,0.838,1.055,1+1+1+1+1+1+1+1+1+1+8+1+1+1+1+1+1+1+1+1+8+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
gainestown,525.x264_r,2767892348,2762578263,5314085,0.192,1897887.5,12936256.97,410.79,36,1.39,50,1006,80,0.681,1.17,3.144,3.318,0.838,1.055,1+1+1+1+1+1+1+1+1+1+8+1+1+1+1+1+1+1+1+1+8+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_d510,631.deepsjeng_s,663742899,653118966,10623933,1.601,6361636.53,24969758.29,425.472,18,1.0,18,420,10,0.284,0.146,1.312,2.996,0.52,2.283,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_c2750,631.deepsjeng_s,588932832,578318304,10614528,1.802,4422720.0,24947653.43,425.472,18,1.0,18,420,10,0.284,0.146,1.312,2.996,0.52,2.283,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
i7_4770k,631.deepsjeng_s,512063650,503393940,8669710,1.693,2477060.0,20376687.54,425.472,18,1.0,18,420,10,0.284,0.146,1.312,2.996,0.52,2.283,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_e3845,631.deepsjeng_s,560195436,549580726,10614710,1.895,5557439.79,24948081.19,425.472,18,1.0,18,420,10,0.284,0.146,1.312,2.996,0.52,2.283,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
gainestown,631.deepsjeng_s,531806671,522945626,8861045,1.666,3164658.93,20826388.11,425.472,18,1.0,18,420,10,0.284,0.146,1.312,2.996,0.52,2.283,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_d510,500.perlbench_r,5525186338,5480155153,45031185,0.815,26964781.44,44956153.18,1001.669,12,1.67,20,113,0,0.076,0.0,0.353,2.863,0.389,8.108,1+1+1+1+5+5+1+1+1+1+1+1
atom_c2750,500.perlbench_r,4822231857,4777727282,44504575,0.923,18543572.92,44430420.63,1001.669,12,1.67,20,113,0,0.076,0.0,0.353,2.863,0.389,8.108,1+1+1+1+5+5+1+1+1+1+1+1
i7_4770k,500.perlbench_r,3853715211,3819233336,34481875,0.895,9851964.29,34424420.64,1001.669,12,1.67,20,113,0,0.076,0.0,0.353,2.863,0.389,8.108,1+1+1+1+5+5+1+1+1+1+1+1
atom_e3845,500.perlbench_r,4712603606,4667962848,44640758,0.947,23372124.61,44566376.72,1001.669,12,1.67,20,113,0,0.076,0.0,0.353,2.863,0.389,8.108,1+1+1+1+5+5+1+1+1+1+1+1
gainestown,500.perlbench_r,3720023007,3684725827,35297180,0.949,12606135.71,35238367.17,1001.669,12,1.67,20,113,0,0.076,0.0,0.353,2.863,0.389,8.108,1+1+1+1+5+5+1+1+1+1+1+1
atom_d510,505.mcf_r,17154123346,17096134904,57988442,0.338,34723617.96,142438897.5,407.111,13,1.0,13,266,10,0.18,0.146,0.831,2.917,0.443,3.509,1+1+1+1+1+1+1+1+1+1+1+1+1
atom_c2750,505.mcf_r,7777136554,7696388023,80748531,1.038,33645221.25,198345244.91,407.111,13,1.0,13,266,10,0.18,0.146,0.831,2.917,0.443,3.509,1+1+1+1+1+1+1+1+1+1+1+1+1
i7_4770k,505.mcf_r,4941006125,4866563162,74442963,1.507,21269418.0,182856673.0,407.111,13,1.0,13,266,10,0.18,0.146,0.831,2.917,0.443,3.509,1+1+1+1+1+1+1+1+1+1+1+1+1
